"IS1.TMC"
Time/sec,Abs
0.0,0.9684
1.0,0.9676
2.0,0.9669
3.0,0.9660
4.0,0.9649
5.0,0.9639
6.0,0.9630
7.0,0.9621
8.0,0.9613
9.0,0.9605
10.0,0.9598
11.0,0.9593
12.0,0.9589
13.0,0.9582
14.0,0.9575
15.0,0.9567
16.0,0.9559
17.0,0.9551
18.0,0.9543
19.0,0.9535
20.0,0.9527
21.0,0.9518
22.0,0.9510
23.0,0.9502
24.0,0.9494
25.0,0.9485
26.0,0.9477
27.0,0.9469
28.0,0.9460
29.0,0.9452
30.0,0.9444
31.0,0.9436
32.0,0.9428
33.0,0.9420
34.0,0.9412
35.0,0.9404
36.0,0.9396
37.0,0.9388
38.0,0.9380
39.0,0.9372
40.0,0.9364
41.0,0.9356
42.0,0.9347
43.0,0.9339
44.0,0.9331
45.0,0.9323
46.0,0.9315
47.0,0.9306
48.0,0.9298
49.0,0.9289
50.0,0.9281
51.0,0.9273
52.0,0.9265
53.0,0.9257
54.0,0.9248
55.0,0.9240
56.0,0.9232
57.0,0.9224
58.0,0.9215
59.0,0.9208
60.0,0.9199
61.0,0.9191
62.0,0.9183
63.0,0.9175
64.0,0.9167
65.0,0.9160
66.0,0.9152
67.0,0.9145
68.0,0.9137
69.0,0.9129
70.0,0.9121
71.0,0.9113
72.0,0.9105
73.0,0.9098
74.0,0.9090
75.0,0.9082
76.0,0.9075
77.0,0.9068
78.0,0.9060
79.0,0.9052
80.0,0.9044
81.0,0.9037
82.0,0.9029
83.0,0.9021
84.0,0.9014
85.0,0.9006
86.0,0.8998
87.0,0.8990
88.0,0.8983
89.0,0.8975
90.0,0.8967
91.0,0.8960
92.0,0.8952
93.0,0.8944
94.0,0.8936
95.0,0.8929
96.0,0.8921
97.0,0.8913
98.0,0.8906
99.0,0.8898
100.0,0.8891
101.0,0.8883
102.0,0.8875
103.0,0.8868
104.0,0.8860
105.0,0.8852
106.0,0.8844
107.0,0.8837
108.0,0.8829
109.0,0.8821
110.0,0.8814
111.0,0.8806
112.0,0.8799
113.0,0.8791
114.0,0.8783
115.0,0.8776
116.0,0.8768
117.0,0.8760
118.0,0.8753
119.0,0.8745
120.0,0.8738
121.0,0.8730
122.0,0.8723
123.0,0.8715
124.0,0.8707
125.0,0.8700
126.0,0.8692
127.0,0.8684
128.0,0.8677
129.0,0.8667
130.0,0.8660
131.0,0.8652
132.0,0.8645
133.0,0.8637
134.0,0.8631
135.0,0.8624
136.0,0.8616
137.0,0.8609
138.0,0.8601
139.0,0.8593
140.0,0.8586
141.0,0.8578
142.0,0.8571
143.0,0.8564
144.0,0.8557
145.0,0.8549
146.0,0.8542
147.0,0.8534
148.0,0.8527
149.0,0.8518
150.0,0.8511
151.0,0.8504
152.0,0.8496
153.0,0.8489
154.0,0.8482
155.0,0.8475
156.0,0.8467
157.0,0.8459
158.0,0.8451
159.0,0.8444
160.0,0.8437
161.0,0.8430
162.0,0.8422
163.0,0.8415
164.0,0.8408
165.0,0.8400
166.0,0.8393
167.0,0.8385
168.0,0.8378
169.0,0.8371
170.0,0.8363
171.0,0.8356
172.0,0.8349
173.0,0.8341
174.0,0.8334
175.0,0.8327
176.0,0.8319
177.0,0.8312
178.0,0.8305
179.0,0.8297
180.0,0.8290
181.0,0.8283
182.0,0.8275
183.0,0.8268
184.0,0.8261
185.0,0.8253
186.0,0.8246
187.0,0.8239
188.0,0.8232
189.0,0.8225
190.0,0.8218
191.0,0.8211
192.0,0.8203
193.0,0.8196
194.0,0.8189
195.0,0.8182
196.0,0.8175
197.0,0.8168
198.0,0.8160
199.0,0.8153
200.0,0.8146
201.0,0.8139
202.0,0.8132
203.0,0.8125
204.0,0.8118
205.0,0.8110
206.0,0.8103
207.0,0.8096
208.0,0.8089
209.0,0.8082
210.0,0.8075
211.0,0.8068
212.0,0.8061
213.0,0.8054
214.0,0.8047
215.0,0.8040
216.0,0.8032
217.0,0.8025
218.0,0.8018
219.0,0.8011
220.0,0.8004
221.0,0.7997
222.0,0.7990
223.0,0.7983
224.0,0.7976
225.0,0.7969
226.0,0.7961
227.0,0.7955
228.0,0.7948
229.0,0.7941
230.0,0.7934
231.0,0.7928
232.0,0.7921
233.0,0.7914
234.0,0.7907
235.0,0.7900
236.0,0.7894
237.0,0.7887
238.0,0.7880
239.0,0.7873
240.0,0.7867
241.0,0.7860
242.0,0.7854
243.0,0.7847
244.0,0.7841
245.0,0.7835
246.0,0.7828
247.0,0.7822
248.0,0.7816
249.0,0.7810
250.0,0.7804
251.0,0.7798
252.0,0.7792
253.0,0.7786
254.0,0.7780
255.0,0.7775
256.0,0.7769
257.0,0.7763
258.0,0.7757
259.0,0.7751
260.0,0.7745
261.0,0.7740
262.0,0.7734
263.0,0.7728
264.0,0.7723
265.0,0.7717
266.0,0.7711
267.0,0.7706
268.0,0.7700
269.0,0.7695
270.0,0.7689
271.0,0.7683
272.0,0.7677
273.0,0.7671
274.0,0.7666
275.0,0.7660
276.0,0.7654
277.0,0.7648
278.0,0.7642
279.0,0.7637
280.0,0.7630
281.0,0.7624
282.0,0.7618
283.0,0.7611
284.0,0.7605
285.0,0.7599
286.0,0.7592
287.0,0.7586
288.0,0.7579
289.0,0.7573
290.0,0.7567
291.0,0.7560
292.0,0.7553
293.0,0.7546
294.0,0.7540
295.0,0.7533
296.0,0.7527
297.0,0.7520
298.0,0.7513
299.0,0.7507
300.0,0.7500
